,gp,fgm,fga,fg,3p_made,3pa,3p,ftm,fta,ft,oreb,dreb,target_5yrs,points_per_minute,total_contribution
26,52,3.1,6.8,45.1,1.1,2.6,43.4,2.1,2.5,83.6,0.5,1.4,0,0.3780487804878049,13.700000000000001
27,76,3.8,9.2,41.5,0.0,0.1,0.0,1.2,1.6,73.6,1.7,3.4,1,0.39111111111111113,15.599999999999998
28,78,3.9,8.7,44.7,0.7,1.8,39.0,1.6,2.2,74.1,0.9,2.0,0,0.45909090909090905,15.600000000000001
29,51,3.2,6.4,49.7,0.0,0.0,0.0,2.0,2.9,66.7,2.3,3.1,1,0.4057971014492754,14.100000000000001
30,64,2.4,4.4,55.2,0.0,0.0,0.0,1.4,2.4,57.2,2.5,3.9,1,0.3054187192118227,13.9
31,55,4.3,8.1,52.9,0.0,0.0,0.0,1.8,3.6,51.5,2.1,4.1,1,0.5123152709359606,17.7
32,82,3.1,7.3,41.9,0.0,0.3,4.3,1.2,1.5,80.6,0.6,1.4,1,0.37755102040816324,12.900000000000002
33,48,3.6,6.8,52.8,0.0,0.0,0.0,2.0,3.0,66.9,2.4,3.3,1,0.4814814814814815,15.600000000000001
34,34,1.5,5.0,30.2,0.4,1.9,18.5,0.9,1.0,91.2,0.1,1.3,0,0.3208955223880597,8.599999999999998
35,42,3.1,7.7,40.0,0.7,2.0,35.7,1.5,1.9,83.3,0.7,1.2,1,0.45698924731182794,11.4
36,82,2.0,5.3,37.0,0.1,0.7,14.5,1.4,1.9,74.1,0.4,1.3,1,0.2989130434782609,10.6
37,64,2.9,7.5,39.0,0.0,0.2,23.1,1.1,1.5,74.5,0.6,1.4,1,0.4117647058823529,11.899999999999999
38,80,3.0,5.7,52.9,0.0,0.0,0.0,1.3,1.9,69.1,1.3,2.9,1,0.43786982248520717,12.300000000000002
39,77,2.3,4.9,46.7,0.0,0.2,21.4,1.1,1.3,81.0,1.4,2.5,1,0.3708609271523179,9.799999999999999
40,55,1.7,4.1,41.7,0.1,0.1,37.5,0.6,0.8,76.1,0.5,1.0,0,0.2751677852348993,7.2
41,48,2.1,5.1,40.7,0.0,0.4,9.5,0.9,1.2,80.4,0.6,1.1,0,0.34459459459459457,8.5
42,51,1.5,3.8,39.9,0.2,0.7,27.0,1.8,2.0,87.5,0.4,1.2,0,0.3448275862068966,8.8
43,51,1.6,4.1,40.2,0.2,0.6,36.7,0.4,0.5,76.9,0.6,1.5,0,0.29545454545454547,6.6
44,72,1.6,3.8,42.3,0.0,0.1,0.0,1.4,1.8,80.3,0.4,0.9,1,0.3709677419354838,7.199999999999998
45,69,1.6,3.6,45.2,0.0,0.0,100.0,0.3,0.4,82.1,1.1,1.6,1,0.30508474576271183,7.1000000000000005
46,54,2.2,3.8,56.8,0.0,0.1,0.0,1.3,2.0,66.1,1.4,2.0,1,0.504424778761062,9.899999999999999
47,24,1.3,4.1,30.3,0.6,1.7,36.6,1.0,1.5,66.7,0.1,0.5,0,0.38679245283018865,5.8
48,50,1.5,3.7,41.5,0.1,0.5,19.2,0.9,1.2,75.4,0.4,0.7,1,0.4270833333333333,6.699999999999998
49,56,1.4,3.0,45.6,0.0,0.1,0.0,0.7,1.0,65.5,0.5,0.8,1,0.3541666666666667,5.699999999999999
50,67,1.4,3.6,38.8,0.4,1.3,29.2,0.5,0.7,75.6,0.1,0.6,0,0.41111111111111115,5.300000000000001
51,50,1.0,2.6,38.0,0.0,0.1,14.3,0.5,0.8,65.9,0.3,0.5,1,0.2873563218390805,4.7
52,45,1.1,2.2,47.5,0.0,0.0,0.0,0.5,0.7,75.0,0.7,0.8,1,0.31764705882352945,4.300000000000001
53,38,1.4,3.8,36.8,0.2,0.7,22.2,0.5,0.6,82.6,0.3,0.6,0,0.41463414634146345,4.8
54,42,1.0,2.3,43.9,0.0,0.0,0.0,0.7,1.4,52.5,0.9,1.0,0,0.34146341463414637,4.399999999999999
55,54,1.3,2.8,45.6,0.1,0.3,18.8,0.6,0.8,74.4,0.7,0.6,0,0.39024390243902446,4.8999999999999995
56,35,1.8,4.5,39.2,0.1,0.3,20.0,0.4,0.8,53.6,0.6,0.6,0,0.547945205479452,5.6000000000000005
57,37,1.2,2.6,44.3,0.1,0.3,18.2,0.5,0.6,81.0,0.4,0.7,0,0.3835616438356164,4.0
58,46,1.1,2.5,43.1,0.2,0.8,27.0,0.2,0.4,52.6,0.4,0.4,0,0.3880597014925373,3.8000000000000007
59,51,0.8,2.2,38.4,0.3,0.6,43.3,0.3,0.4,83.3,0.3,0.5,0,0.34375,3.1
60,40,0.7,1.8,38.0,0.0,0.0,0.0,0.9,1.1,75.6,0.5,0.7,0,0.4150943396226416,3.4000000000000004
61,19,0.7,1.9,37.8,0.0,0.1,0.0,0.2,0.4,37.5,0.6,0.4,0,0.33333333333333337,3.2
62,36,0.5,1.4,35.3,0.1,0.5,11.8,0.3,0.4,66.7,0.2,0.4,0,0.3023255813953489,2.1
63,79,6.9,16.5,42.2,0.0,0.1,27.3,4.1,5.5,73.6,2.4,6.4,1,0.47745358090185674,30.400000000000006
64,55,1.2,3.9,30.4,0.4,1.9,20.4,0.6,0.9,74.5,0.4,0.8,0,0.2595419847328244,5.199999999999999
65,74,6.9,14.9,46.7,0.2,0.5,34.2,4.4,6.0,73.1,3.6,6.6,1,0.5227272727272726,30.299999999999997
66,64,4.6,11.3,40.6,1.1,3.1,36.5,4.0,5.2,77.0,0.8,1.9,0,0.42686567164179107,20.1
67,82,6.1,14.4,42.5,1.5,4.1,37.4,1.9,2.5,75.0,0.8,2.1,1,0.5508771929824561,19.7
68,82,3.2,7.0,45.0,0.0,0.2,7.7,0.8,1.2,71.1,1.3,1.6,1,0.26277372262773724,16.6
69,81,2.4,4.7,51.2,0.0,0.0,0.0,2.2,3.1,72.2,3.4,4.6,1,0.27413127413127414,16.5
70,76,4.5,10.2,44.1,0.1,0.4,13.3,3.0,3.9,78.2,1.5,2.0,1,0.4724409448818898,16.1
71,82,3.5,7.5,46.4,0.1,0.4,20.6,1.7,1.9,87.3,0.5,1.7,0,0.36708860759493667,14.599999999999998
72,82,3.5,7.5,46.4,0.1,0.4,20.6,1.7,1.9,87.3,0.5,1.7,1,0.36708860759493667,14.599999999999998
73,49,0.7,2.0,32.7,0.1,0.6,21.4,0.5,0.8,64.9,0.2,0.7,0,0.20652173913043478,4.4
74,49,0.7,2.0,32.7,0.1,0.6,21.4,0.5,0.8,64.9,0.2,0.7,1,0.20652173913043478,4.4
75,82,4.6,10.2,45.0,0.0,0.2,14.3,1.9,2.2,83.5,1.3,1.9,1,0.4641350210970464,17.7
76,76,2.8,5.4,50.8,0.0,0.0,0.0,1.4,2.2,63.6,1.9,3.3,1,0.3053097345132743,14.1
77,67,6.2,15.1,41.3,0.4,1.5,24.0,1.3,1.5,85.7,0.5,1.3,1,0.6266666666666667,18.3
78,70,3.6,8.2,43.9,0.0,0.4,9.7,1.6,2.2,70.7,0.9,1.2,0,0.4271844660194175,12.4
79,81,3.4,7.9,42.8,0.3,1.0,29.9,1.5,1.9,81.6,1.2,2.3,1,0.4195121951219512,13.200000000000001
80,33,2.4,4.8,49.7,0.1,0.3,40.0,2.3,2.7,84.3,1.4,1.9,1,0.36923076923076925,11.9
81,58,2.0,4.9,41.7,0.0,0.1,0.0,1.2,2.2,55.0,2.3,3.3,0,0.27461139896373055,12.199999999999998
82,70,3.0,7.2,41.9,0.1,0.3,25.0,1.1,1.3,79.6,0.5,1.1,0,0.42603550295857995,9.600000000000001
83,82,2.0,4.8,41.2,0.1,0.4,17.6,0.9,1.2,74.7,0.7,1.2,1,0.296969696969697,9.300000000000002
84,62,2.6,6.7,38.0,0.3,1.0,29.2,1.5,1.9,77.3,0.7,1.2,0,0.425925925925926,9.4
85,78,2.6,6.0,42.5,0.0,0.1,0.0,1.1,1.7,67.2,1.5,2.8,0,0.3850931677018633,10.0
86,73,2.4,4.9,48.7,0.0,0.0,0.0,0.7,1.0,66.2,1.7,3.1,1,0.3416149068322981,10.700000000000003
87,74,2.0,4.0,49.2,0.0,0.0,0.0,1.3,2.1,63.2,2.1,3.1,1,0.3291925465838509,10.700000000000001
88,76,2.8,6.8,42.1,0.2,0.8,29.8,0.8,1.2,63.0,1.5,1.4,0,0.43506493506493504,10.4
89,55,2.4,5.2,46.5,0.0,0.1,0.0,0.9,1.2,71.2,1.5,2.7,1,0.3825503355704698,10.799999999999999
90,47,2.3,5.1,44.6,0.0,0.2,18.2,1.0,1.7,58.8,0.4,1.1,0,0.39160839160839156,9.199999999999998
91,37,3.0,6.9,44.1,0.6,1.6,40.0,1.4,1.9,72.2,0.7,1.4,1,0.5955882352941176,10.6
92,62,1.7,3.7,46.5,0.0,0.0,0.0,0.9,1.4,64.4,0.8,1.9,0,0.3233082706766917,7.0
93,62,1.4,3.7,38.4,0.1,0.5,16.1,1.0,1.2,80.5,0.3,0.8,0,0.312,5.8999999999999995
94,51,2.9,6.7,43.8,0.0,0.3,11.8,1.0,1.5,68.4,1.1,0.9,0,0.5798319327731093,9.7
95,36,1.7,4.2,41.3,0.0,0.0,0.0,0.4,0.8,55.6,0.8,0.6,1,0.33050847457627114,5.9
96,74,1.3,3.1,41.6,0.0,0.1,25.0,0.6,0.9,65.2,0.8,1.1,1,0.26724137931034486,6.1000000000000005
97,63,3.2,6.7,48.7,0.0,0.1,16.7,1.7,2.6,66.3,1.2,1.2,1,0.7068965517241379,10.5
98,33,0.9,2.7,34.8,0.1,0.3,27.3,0.3,0.4,64.3,0.2,2.0,0,0.20370370370370372,5.6000000000000005
99,54,1.8,3.9,46.0,0.0,0.1,0.0,0.8,1.1,68.9,1.0,1.8,1,0.3928571428571429,7.7
100,73,1.5,3.7,40.8,0.1,0.2,27.8,0.7,1.0,73.2,0.2,0.8,0,0.34545454545454546,6.0
101,15,1.3,3.1,40.4,0.0,0.1,0.0,1.1,1.6,66.7,0.8,2.2,0,0.3302752293577982,6.699999999999999
102,64,1.5,3.4,44.1,0.0,0.1,0.0,0.6,0.9,70.2,0.4,0.7,1,0.3394495412844037,6.4
103,56,1.4,3.4,41.5,0.0,0.0,0.0,0.6,0.7,80.0,0.3,0.5,0,0.32075471698113206,5.8999999999999995
104,64,1.2,3.0,39.1,0.0,0.0,0.0,0.9,1.2,69.6,0.4,0.8,0,0.30188679245283023,5.0
105,68,1.2,2.8,41.8,0.3,0.8,33.3,0.6,0.6,90.5,0.2,0.5,1,0.3069306930693069,5.700000000000001
106,47,1.1,2.6,40.3,0.3,0.7,37.5,0.5,0.7,75.8,0.7,0.7,0,0.29,4.8
107,52,1.4,3.1,44.7,0.0,0.0,50.0,0.7,1.1,66.1,0.8,1.3,1,0.3571428571428571,5.3999999999999995
108,64,1.5,3.8,40.0,0.1,0.3,40.0,0.5,0.7,77.8,0.5,0.5,0,0.38947368421052636,5.1000000000000005
109,34,1.3,3.5,36.7,0.0,0.0,0.0,0.4,0.8,44.4,0.8,1.1,0,0.2685185185185185,4.799999999999999
110,42,1.6,3.7,43.9,0.0,0.0,0.0,0.5,1.0,55.0,0.7,2.2,1,0.39999999999999997,7.1
111,50,1.9,4.2,45.8,0.1,0.4,15.8,0.6,0.7,84.8,0.4,0.9,1,0.48387096774193544,5.7
112,52,1.1,2.4,45.5,0.0,0.0,0.0,0.6,0.9,65.3,0.8,1.1,1,0.3835616438356164,5.4
113,75,1.2,2.4,52.0,0.0,0.0,0.0,0.5,0.7,68.0,0.7,1.0,0,0.41428571428571426,4.9
114,39,0.9,2.1,42.0,0.2,0.6,24.0,0.3,0.6,48.0,0.8,1.0,1,0.3235294117647059,4.800000000000001
115,51,1.0,2.0,51.0,0.0,0.0,50.0,0.4,0.5,71.4,0.8,1.1,1,0.3787878787878788,4.7
116,52,0.5,1.4,37.3,0.0,0.0,0.0,0.2,0.4,54.5,0.8,0.7,0,0.20967741935483872,3.0
117,39,0.5,1.0,51.3,0.0,0.0,0.0,0.5,0.5,90.5,0.5,0.6,1,0.25862068965517243,3.0000000000000004
118,82,8.4,15.9,53.1,0.0,0.0,0.0,7.5,10.2,73.2,3.7,8.3,1,0.6639344262295082,40.8
119,31,1.2,3.3,35.3,0.5,2.1,25.8,0.5,0.9,55.2,0.3,1.1,0,0.31775700934579443,5.3999999999999995
120,79,5.9,12.5,47.1,0.3,1.1,27.4,2.7,3.5,76.4,0.7,3.2,0,0.43620178041543023,26.2
121,79,5.9,12.5,47.1,0.3,1.1,27.4,2.7,3.5,76.4,0.7,3.2,1,0.43620178041543023,26.2
122,82,4.4,9.9,44.0,0.0,0.1,0.0,2.3,3.5,66.4,2.4,6.0,1,0.33035714285714285,20.4
123,82,5.2,11.3,46.1,0.3,1.0,27.7,0.8,1.3,58.9,0.7,2.0,1,0.3619047619047619,21.000000000000004
124,81,5.7,11.6,49.4,0.1,0.4,16.1,2.8,4.0,68.7,0.9,1.7,1,0.46885245901639344,23.3
125,80,4.7,10.4,44.6,0.0,0.1,0.0,3.4,4.4,76.8,2.3,3.5,1,0.4205298013245033,19.900000000000002
126,77,6.1,13.9,43.9,0.2,0.9,24.6,1.2,1.6,73.4,1.3,3.3,1,0.4533333333333333,19.7
127,77,6.1,13.9,43.9,0.2,0.9,24.6,1.2,1.6,73.4,1.3,3.3,0,0.4533333333333333,19.7
128,50,4.2,11.4,37.1,0.4,1.6,22.5,1.3,1.6,77.8,0.8,2.0,1,0.3992094861660079,16.8
129,81,3.8,8.0,48.1,0.0,0.1,11.1,2.3,2.7,86.6,1.6,2.1,1,0.398406374501992,14.999999999999998
130,82,3.5,6.9,50.7,0.1,0.4,30.0,1.8,2.5,71.9,0.8,2.2,1,0.3869565217391305,13.200000000000001
131,50,1.5,3.3,44.9,0.0,0.3,13.3,0.6,1.1,57.4,0.9,2.0,0,0.34905660377358494,7.1
132,81,4.6,9.3,49.4,0.0,0.2,5.9,2.3,3.3,70.5,1.3,2.6,1,0.5227272727272727,16.4
133,82,3.3,6.5,50.4,0.0,0.0,0.0,2.4,3.3,72.7,2.1,2.6,1,0.4101382488479263,14.5
134,81,3.7,9.1,40.5,1.2,2.9,39.9,1.1,1.4,80.9,0.4,1.2,1,0.48258706467661683,12.999999999999998
135,69,2.5,6.0,41.1,0.0,0.2,13.3,1.3,1.9,70.5,1.1,1.2,0,0.3214285714285714,9.299999999999999
136,82,3.6,9.2,39.7,0.1,0.5,27.3,1.7,3.1,55.0,1.3,2.4,1,0.4764397905759162,13.599999999999998
137,55,2.5,5.2,47.9,0.0,0.0,0.0,1.2,1.7,66.7,1.5,1.9,0,0.33888888888888885,10.0
138,75,2.8,6.0,47.0,0.0,0.1,0.0,1.7,2.2,76.2,1.1,2.0,1,0.40782122905027934,10.9
139,72,3.2,6.5,49.7,0.0,0.0,0.0,2.3,3.2,72.2,2.6,2.4,0,0.5117647058823529,14.1
140,79,3.2,6.5,48.6,0.0,0.2,0.0,1.6,2.2,74.7,0.6,1.3,1,0.47619047619047616,11.1
141,25,1.2,3.0,39.5,0.2,0.5,38.5,0.7,1.0,69.2,1.1,2.3,0,0.3173076923076923,7.1
142,81,2.3,4.8,48.5,0.0,0.1,50.0,0.9,1.0,88.5,0.2,1.0,1,0.3522012578616352,9.099999999999998
143,63,1.9,4.2,46.6,0.0,0.0,0.0,0.9,1.4,62.1,1.5,2.2,1,0.33571428571428574,8.400000000000002
144,81,2.5,5.2,47.9,0.0,0.1,16.7,1.4,2.0,73.6,1.8,2.5,1,0.47101449275362317,11.3
145,61,2.1,4.8,43.7,0.0,0.0,0.0,1.0,1.6,64.3,1.0,1.8,1,0.40151515151515155,8.499999999999998
146,43,2.0,5.0,40.6,0.1,0.5,14.3,0.4,0.6,68.0,0.2,1.0,0,0.3538461538461538,7.3
147,55,1.7,4.6,36.9,0.0,0.3,7.1,0.9,1.6,56.2,1.4,1.7,1,0.3333333333333333,7.500000000000001
148,59,1.6,2.9,54.7,0.0,0.1,25.0,0.9,1.4,67.1,0.7,1.4,0,0.33064516129032256,7.099999999999999
149,66,1.8,3.9,45.9,0.0,0.0,0.0,2.3,3.0,77.7,1.0,1.0,1,0.5221238938053098,8.1
150,70,6.1,15.1,40.5,0.8,3.0,26.4,3.7,5.2,70.3,1.4,4.8,0,0.4840579710144927,28.2
151,77,1.4,3.4,42.9,0.2,0.7,28.6,0.5,0.7,66.0,0.2,0.6,0,0.3181818181818182,5.699999999999999
152,37,1.3,4.4,29.8,0.2,0.8,23.3,1.2,1.7,69.4,0.2,0.7,0,0.35779816513761464,5.799999999999999
153,67,1.2,3.2,38.4,0.0,0.2,18.8,0.6,0.9,66.1,0.2,0.6,1,0.3069306930693069,5.9
154,42,0.9,2.0,43.0,0.0,0.0,0.0,0.2,0.3,50.0,1.0,1.8,0,0.19387755102040813,5.3999999999999995
155,50,1.9,4.1,47.3,0.1,0.3,35.7,1.2,1.8,67.0,0.6,0.9,0,0.5306122448979592,7.400000000000001
156,65,2.1,4.4,47.6,0.0,0.4,7.1,0.8,1.0,82.8,0.6,0.9,0,0.5263157894736842,7.0
157,65,2.1,4.4,47.6,0.0,0.4,7.1,0.8,1.0,82.8,0.6,0.9,1,0.5263157894736842,7.0
158,82,2.7,5.0,54.2,0.0,0.0,0.0,1.5,3.2,48.5,2.1,3.8,0,0.3254716981132076,13.6
159,82,2.7,5.0,54.2,0.0,0.0,0.0,1.5,3.2,48.5,2.1,3.8,1,0.3254716981132076,13.6
160,44,1.0,3.3,31.3,0.3,0.9,32.5,0.3,0.4,78.9,0.3,0.7,1,0.2872340425531915,4.4
161,36,1.6,3.4,47.5,0.0,0.1,0.0,1.1,1.8,61.5,0.6,0.8,0,0.4886363636363636,6.299999999999999
162,60,1.0,2.2,44.4,0.0,0.1,0.0,0.9,1.3,69.7,0.2,0.9,1,0.33333333333333337,5.8999999999999995
163,60,1.0,2.2,44.4,0.0,0.1,0.0,0.9,1.3,69.7,0.2,0.9,1,0.33333333333333337,5.8999999999999995
164,60,1.0,2.2,44.4,0.0,0.1,0.0,0.9,1.3,69.7,0.2,0.9,0,0.33333333333333337,5.8999999999999995
165,71,6.1,12.4,49.5,0.0,0.0,0.0,4.0,5.5,72.5,2.4,4.1,1,0.5361842105263158,24.5
166,71,6.1,12.4,49.5,0.0,0.0,0.0,4.0,5.5,72.5,2.4,4.1,1,0.5361842105263158,24.5
167,71,6.1,12.4,49.5,0.0,0.0,0.0,4.0,5.5,72.5,2.4,4.1,0,0.5361842105263158,24.5
168,34,1.4,3.7,39.2,0.4,1.4,31.9,0.2,0.3,54.5,0.4,0.4,1,0.4069767441860465,4.6
169,34,1.4,3.7,39.2,0.4,1.4,31.9,0.2,0.3,54.5,0.4,0.4,1,0.4069767441860465,4.6
170,34,1.4,3.7,39.2,0.4,1.4,31.9,0.2,0.3,54.5,0.4,0.4,0,0.4069767441860465,4.6
171,45,1.8,3.6,49.4,0.0,0.1,0.0,0.9,1.5,60.9,1.3,1.1,0,0.5421686746987951,6.7
172,70,4.9,12.8,38.0,1.6,4.8,33.0,1.5,1.6,90.3,0.5,2.4,0,0.3962848297213623,20.300000000000004
173,57,0.7,2.0,36.8,0.1,0.4,25.0,0.4,0.7,61.5,0.4,0.8,0,0.2597402597402597,3.6
174,52,1.0,2.6,39.3,0.1,0.2,27.3,0.5,0.6,81.3,0.5,0.9,1,0.35616438356164387,3.9
175,51,0.8,1.5,55.3,0.0,0.0,0.0,0.3,0.5,46.4,0.7,1.4,1,0.29230769230769227,3.9999999999999996
176,35,1.3,3.1,43.5,0.1,0.3,40.0,0.5,0.5,88.9,0.3,0.4,0,0.532258064516129,4.1000000000000005
177,48,0.4,1.8,23.8,0.0,0.1,16.7,0.3,0.4,76.5,0.2,0.4,0,0.1929824561403509,2.8
178,21,0.3,0.9,33.3,0.0,0.0,0.0,0.1,0.3,50.0,0.2,0.9,0,0.14285714285714285,2.1999999999999997
179,36,0.6,1.9,33.8,0.1,0.2,28.6,0.7,0.8,80.0,0.2,0.4,0,0.46511627906976744,2.4
180,21,0.9,2.3,37.5,0.0,0.2,25.0,0.4,0.6,69.2,0.6,0.5,0,0.5365853658536587,3.5000000000000004
181,79,8.2,17.5,46.8,0.4,1.1,36.7,5.2,6.4,81.0,2.0,3.9,1,0.6395348837209303,29.900000000000006
182,81,7.9,15.9,49.8,0.0,0.3,19.0,2.8,3.6,77.5,1.9,3.3,1,0.5502958579881657,27.800000000000004
183,80,4.9,11.7,41.9,0.9,2.8,32.7,3.1,4.0,78.0,0.5,3.6,0,0.4437299035369775,20.900000000000002
184,79,5.6,12.3,45.5,0.9,2.1,42.8,3.1,3.7,83.1,0.6,2.2,1,0.46319018404907975,20.9
185,79,5.9,14.0,42.5,0.1,0.5,27.0,1.8,2.4,74.6,1.1,2.2,1,0.4646464646464647,20.5
186,82,4.1,8.4,48.6,0.0,0.1,0.0,3.7,5.0,74.9,2.9,3.7,1,0.4006734006734007,20.000000000000004
187,75,7.0,16.9,41.4,0.8,2.5,31.4,2.1,2.6,79.5,1.0,1.5,1,0.5709459459459458,21.4
188,82,3.6,8.4,43.3,0.0,0.2,0.0,1.3,1.6,82.6,1.5,3.1,1,0.3060498220640569,17.9
189,76,5.4,11.9,45.7,0.8,2.3,36.6,2.4,3.3,71.7,2.5,2.8,1,0.5108695652173912,20.500000000000004
190,71,5.1,11.7,43.5,0.1,0.3,22.7,1.7,2.3,73.5,1.1,2.2,1,0.43911439114391143,20.9
191,79,4.5,10.5,43.2,0.4,1.6,24.8,2.3,3.1,74.5,0.6,1.9,1,0.44827586206896547,17.0
192,82,3.1,8.3,37.6,1.2,3.6,32.0,1.4,1.7,80.4,0.6,2.2,0,0.32958801498127344,12.3
193,54,3.4,8.0,41.9,0.5,1.5,32.9,1.4,2.4,61.4,1.1,2.7,1,0.3426294820717131,15.500000000000002
194,55,3.0,7.2,42.0,0.0,0.1,25.0,1.9,2.8,67.3,2.1,3.1,0,0.3603603603603604,14.6
195,64,4.0,8.9,45.0,1.0,2.5,40.6,2.0,2.6,78.9,0.9,2.2,0,0.5,15.0
196,71,2.5,5.1,49.0,0.0,0.2,0.0,1.4,1.8,80.3,0.5,1.7,0,0.3033175355450237,11.600000000000001
197,36,2.0,4.9,41.7,0.0,0.2,14.3,1.6,2.3,69.5,1.2,1.3,0,0.28078817733990147,11.5
198,65,2.9,5.8,50.1,0.0,0.1,0.0,1.5,2.7,57.1,1.8,2.7,0,0.4,13.000000000000002
199,80,3.0,6.3,47.5,0.1,0.3,30.0,1.1,1.3,85.0,0.6,1.5,1,0.3641025641025641,11.799999999999999
200,32,3.1,6.6,46.7,0.1,0.5,20.0,0.6,0.8,69.2,0.3,1.2,0,0.35233160621761656,11.200000000000001
201,81,3.4,7.8,43.7,0.1,0.3,20.8,2.4,3.0,78.3,1.4,1.8,0,0.48947368421052634,12.5
202,80,4.0,9.2,43.4,0.1,0.5,22.5,3.4,4.3,78.6,1.3,1.0,1,0.6318681318681318,14.3
203,71,2.5,5.5,46.4,0.0,0.0,0.0,0.5,0.8,59.6,1.1,1.2,1,0.3333333333333333,9.5
204,81,3.3,7.0,46.7,0.2,0.7,32.2,2.1,2.9,74.5,0.6,1.3,1,0.5297619047619048,14.2
205,82,1.9,4.5,42.0,0.7,1.9,35.9,0.7,0.8,88.4,0.2,0.9,1,0.31137724550898205,10.0
206,24,1.8,4.0,44.3,0.0,0.0,0.0,1.5,2.7,57.8,0.8,1.3,0,0.3469387755102041,7.499999999999998
207,65,1.9,3.8,48.8,0.0,0.0,0.0,1.8,2.6,68.9,1.5,2.1,0,0.3793103448275862,9.1
208,56,2.1,4.4,48.6,0.0,0.0,0.0,0.7,1.2,58.0,1.2,2.0,1,0.34965034965034963,8.6
209,36,0.7,1.6,43.1,0.0,0.0,0.0,0.3,0.4,69.2,0.7,1.2,1,0.2285714285714286,3.6000000000000005
210,51,1.8,4.1,44.5,0.0,0.0,0.0,1.1,1.6,72.5,0.6,1.6,0,0.3582089552238806,7.6
211,75,1.6,2.9,54.5,0.0,0.0,0.0,1.1,1.5,69.9,0.6,2.0,1,0.41346153846153844,6.699999999999999
212,54,2.0,4.7,42.6,0.0,0.1,0.0,0.8,2.1,38.4,1.6,2.1,1,0.47058823529411764,9.2
213,62,1.7,3.2,53.7,0.0,0.1,25.0,0.6,1.0,61.5,1.0,1.1,1,0.4141414141414141,6.699999999999999
